Years,FIPS,County,Deaths,% Fair or Poor Health,% Low birthweight,Food Environment Index,# Driving Deaths,# Uninsured,Mental Health Provider Ratio
2022,36001,Albany,3545.0,15,8,8.3,91,9639,0.004
2022,36003,Allegany,646.0,18,7,8.0,16,1824,0.0024813895781637717
2022,36005,Bronx,18665.0,30,10,7.6,207,100053,0.0023148148148148147
2022,36007,Broome,2598.0,19,8,7.9,61,7520,0.002352941176470588
2022,36009,Cattaraugus,1224.0,20,8,7.9,41,4088,0.0014903129657228018
2022,36011,Cayuga,1063.0,18,7,8.5,37,2770,0.002066115702479339
2022,36013,Chautauqua,1889.0,20,8,7.6,53,5210,0.0018181818181818182
2022,36015,Chemung,1377.0,18,8,7.9,28,2636,0.003115264797507788
2022,36017,Chenango,752.0,19,7,8.2,32,1703,0.001968503937007874
2022,36019,Clinton,1034.0,18,7,8.0,29,3018,0.003048780487804878
2022,36021,Columbia,819.0,16,6,8.1,37,2524,0.002
2022,36023,Cortland,620.0,17,8,8.0,15,1506,0.003745318352059925
2022,36025,Delaware,691.0,19,6,7.8,31,1789,0.0013422818791946308
2022,36027,Dutchess,3387.0,16,8,8.6,107,12124,0.003105590062111801
2022,36029,Erie,12400.0,17,9,8.1,224,29797,0.0035087719298245615
2022,36031,Essex,522.0,16,7,8.6,20,1308,0.001652892561983471
2022,36033,Franklin,643.0,20,7,7.4,17,2492,0.0030581039755351682
2022,36035,Fulton,831.0,19,8,7.9,22,2014,0.002331002331002331
2022,36037,Genesee,774.0,17,6,8.6,48,1985,0.0016313213703099511
2022,36039,Greene,720.0,19,7,8.4,34,1687,0.0009115770282588879
2022,36041,Hamilton,,20,6,7.1,4,218,0.0006906077348066298
2022,36043,Herkimer,845.0,18,7,8.0,32,2237,0.0007874015748031496
2022,36045,Jefferson,1275.0,19,7,7.6,45,4191,0.002347417840375587
2022,36047,Kings,25999.0,20,8,8.2,297,155196,0.0025380710659898475
2022,36049,Lewis,292.0,18,7,8.1,16,1047,0.0022123893805309734
2022,36051,Livingston,715.0,17,7,8.5,26,2114,0.001314060446780552
2022,36053,Madison,764.0,16,7,8.4,29,2311,0.0021141649048625794
2022,36055,Monroe,8452.0,17,9,8.0,222,24849,0.003134796238244514
2022,36057,Montgomery,722.0,22,8,6.2,19,2044,0.0008748906386701663
2022,36059,Nassau,12063.0,14,8,9.9,367,53385,0.003355704697986577
2022,36061,New York,13274.0,17,8,8.4,180,73874,0.009615384615384616
2022,36063,Niagara,3213.0,17,8,8.0,83,7153,0.0013908205841446453
2022,36065,Oneida,3327.0,18,8,7.9,89,9299,0.0018656716417910447
2022,36067,Onondaga,5458.0,16,8,8.1,140,17751,0.0029069767441860465
2022,36069,Ontario,1302.0,14,7,8.7,46,3475,0.0024271844660194173
2022,36071,Orange,3969.0,17,7,8.5,155,15775,0.002564102564102564
2022,36073,Orleans,616.0,20,7,8.2,24,1817,0.0006501950585175553
2022,36075,Oswego,1585.0,19,7,8.0,79,4904,0.0015384615384615385
2022,36077,Otsego,752.0,17,6,7.5,17,2160,0.0020964360587002098
2022,36079,Putnam,896.0,14,7,9.0,27,3369,0.00392156862745098
2022,36081,Queens,22297.0,21,8,9.0,341,191502,0.0018484288354898336
2022,36083,Rensselaer,2025.0,15,8,8.3,39,5339,0.0017889087656529517
2022,36085,Richmond,5412.0,18,8,9.2,57,19502,0.0025
2022,36087,Rockland,2882.0,17,6,8.7,69,15161,0.002967359050445104
2022,36089,St. Lawrence,1393.0,19,7,7.3,45,4451,0.002173913043478261
2022,36091,Saratoga,2377.0,13,7,8.9,86,6612,0.0019880715705765406
2022,36093,Schenectady,1903.0,17,9,8.6,41,6032,0.0024937655860349127
2022,36095,Schoharie,421.0,17,7,8.5,40,1160,0.0014124293785310734
2022,36097,Schuyler,243.0,18,5,8.2,9,665,0.0018656716417910447
2022,36099,Seneca,477.0,19,6,8.4,22,1362,0.001941747572815534
2022,36101,Steuben,1387.0,18,7,8.0,46,3881,0.0021008403361344537
2022,36103,Suffolk,15878.0,15,8,9.3,621,62909,0.002932551319648094
2022,36105,Sullivan,1184.0,20,8,8.3,46,3685,0.001953125
2022,36107,Tioga,614.0,17,7,8.7,32,1621,0.001564945226917058
2022,36109,Tompkins,805.0,15,6,8.0,34,3475,0.004132231404958678
2022,36111,Ulster,2292.0,17,7,8.1,88,7976,0.003745318352059925
2022,36113,Warren,844.0,15,7,8.2,27,2128,0.004081632653061225
2022,36115,Washington,882.0,18,7,8.5,29,2344,0.0015015015015015015
2022,36117,Wayne,1248.0,17,7,8.6,56,3067,0.0011299435028248588
2022,36119,Westchester,8329.0,16,8,9.3,163,45099,0.004273504273504274
2022,36121,Wyoming,498.0,18,7,8.4,19,1289,0.002304147465437788
2022,36123,Yates,339.0,18,4,8.9,10,1520,0.00117096018735363
